id,host_since,host_response_rate,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location
19198,2019,100,I Centro Storico,Private room in guesthouse,Private room,2,0,1,46,1,1125,1,4,4,5
5840,2015,100,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,5,1,3,60,1,1125,1,5,5,5
8691,2015,50,I Centro Storico,Entire condominium (condo),Entire home/apt,7,1,3,179,1,100,1,2,5,5
10734,2013,90,I Centro Storico,Entire condominium (condo),Entire home/apt,9,1,3,170,1,1000,1,5,5,5
18238,2019,0,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,100,1,1125,1,5,5,5
19843,2019,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,7,1,3,114,1,28,1,5,5,5
21187,2013,97,II Parioli/Nomentano,Entire condominium (condo),Entire home/apt,4,1,1,63,1,1125,1,5,5,5
21611,2013,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,6,1,1,60,1,1125,1,3,3,4
21655,2021,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,4,1,1,113,1,365,1,5,4,4
21662,2021,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,1,93,1,365,1,4,5,4
21827,2021,100,II Parioli/Nomentano,Entire condominium (condo),Entire home/apt,2,1,1,100,1,90,1,4,4,5
21856,2020,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,2,1,1,64,1,29,1,3,2,5
22024,2019,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,2,98,1,1125,1,5,5,5
22393,2015,100,III Monte Sacro,Entire condominium (condo),Entire home/apt,6,1,1,45,1,365,1,4,5,5
22549,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,60,1,365,1,4,4,5
22791,2021,100,V Prenestino/Centocelle,Entire condominium (condo),Entire home/apt,4,1,2,100,1,1125,1,5,5,4
22800,2021,100,XII Monte Verde,Entire condominium (condo),Entire home/apt,4,1,1,71,1,1125,1,5,5,5
22920,2021,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,4,1,1,90,1,15,1,5,5,5
23173,2012,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,59,1,29,1,5,5,5
23250,2021,50,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,110,1,1125,1,5,5,5
23503,2012,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,95,1,1125,1,4,5,4
23527,2019,60,XI Arvalia/Portuense,Entire condominium (condo),Entire home/apt,4,1,1,50,1,365,1,3,4,4
24157,2021,100,I Centro Storico,Entire condominium (condo),Entire home/apt,2,1,1,46,1,365,1,5,5,5
24172,2021,100,X Ostia/Acilia,Entire condominium (condo),Entire home/apt,4,1,2,50,1,365,1,4,3,5
24245,2018,70,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,114,1,1125,1,4,5,5
24335,2021,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,2,1,1,70,1,10,1,5,5,5
24363,2021,100,I Centro Storico,Entire condominium (condo),Entire home/apt,4,1,1,89,1,1125,1,5,5,5
24387,2016,100,I Centro Storico,Entire condominium (condo),Entire home/apt,3,1,1,85,1,365,1,5,5,5
24549,2016,100,XIII Aurelia,Entire condominium (condo),Entire home/apt,2,1,1,51,1,365,1,5,5,5
17637,2013,100,VII San Giovanni/Cinecitta,Entire loft,Entire home/apt,2,1,1,50,1,20,1,3,5,5
19309,2020,90,XV Cassia/Flaminia,Entire loft,Entire home/apt,4,1,1,104,1,29,1,5,5,5
21151,2017,100,II Parioli/Nomentano,Entire loft,Entire home/apt,4,1,1,90,1,7,1,5,4,3
24040,2021,100,XII Monte Verde,Entire loft,Entire home/apt,4,1,1,64,1,365,1,4,4,3
